,Country,GDP_Growth_2018,GDP_Growth_2019,GDP_Growth_2020,GDP_Growth_2021,GDP_Growth_2022,GDP_Growth_2023,GDP_Per_Capi_2018,GDP_Per_Capi_2019,GDP_Per_Capi_2020,GDP_Per_Capi_2021,GDP_Per_Capi_2022,GDP_Per_Capi_2023,Unemployment_2018,Unemployment_2019,Unemployment_2020,Unemployment_2021,Unemployment_2022,Unemployment_2023,Inflation_Rate_2018,Inflation_Rate_2019,Inflation_Rate_2020,Inflation_Rate_2021,Inflation_Rate_2022,Inflation_Rate_2023,Population_2018,Population_2019,Population_2020,Population_2021,Population_2022,Population_2023,Current_Account_2018,Current_Account_2019,Current_Account_2020,Current_Account_2021,Current_Account_2022,Current_Account_2023,Government_Debt_2018,Government_Debt_2019,Government_Debt_2020,Government_Debt_2021,Government_Debt_2022,Government_Debt_2023,Status,Region
1,Afghanistan,1.2,3.9,-2.4,-14.5,-6.2,2.7,499.799,499.762,516.664,356.063,352.456,410.933,NA,NA,NA,NA,NA,NA,0.6,2.3,5.6,7.8,10.6,-7.7,36.687,37.769,38.972,40.099,41.142,42.171,2.227,2.209,2.814,NA,NA,NA,7.4,6.3,7.8,NA,NA,NA,Developing,Asia
2,Albania,4,2.1,-3.3,8.9,4.9,3.5,5287.721,5395.101,5353.303,6396.166,6870.21,8299.278,12.3,11.5,11.7,11.5,10.9,10.7,2,1.4,1.6,2,6.7,4.8,2.866,2.854,2.838,2.812,2.778,2.75,-1.024,-1.166,-1.315,-1.38,-1.121,-0.285,69.5,67.4,75.8,75.2,65.5,59.8,Developed,Europe
3,Algeria,1.4,0.9,-5,3.8,3.6,4.1,4568.244,4452.856,3757.585,4169.984,4981.822,5221.813,11.7,11.4,NA,NA,NA,NA,4.3,2,2.4,7.2,9.3,9.3,42.578,43.424,43.851,44.577,45.291,45.973,-16.884,-16.911,-18.681,-4.512,19.064,5.978,34.5,40.9,46,55.1,48.1,48.6,Developing,Africa
4,Andorra,1.6,2,-11.2,8.3,9.6,1.4,42229.903,40688.491,36973.845,41806.876,41378.881,43809.726,1.8,2.1,2.9,3.3,2.1,1.6,1,0.5,0.1,1.7,6.2,5.6,7.60E-02,7.80E-02,7.80E-02,0.08,8.20E-02,8.50E-02,NA,0.568,0.448,0.468,0.582,0.634,36.3,35.4,46.4,48.6,38.9,36.4,Developed,Europe
5,Angola,-0.6,-0.2,-4,2.1,4.2,1,3651.304,2926.143,1989.939,2445.388,3974.666,2967.384,NA,NA,NA,NA,NA,NA,19.6,17.1,22.3,25.8,21.4,13.6,31.274,32.354,33.428,34.504,35.711,36.961,7.403,5.137,0.872,8.399,11.763,4.185,82.5,101.4,119.1,74.3,56.1,73.7,Developing,Africa
6,Antigua and Barbuda,7,3.1,-18.9,8.2,9.5,4.2,17451.026,17851.361,14382.232,16088.64,18498.453,19985.469,NA,NA,NA,NA,NA,NA,1.2,1.4,1.1,1.6,7.5,5.1,9.50E-02,9.70E-02,9.80E-02,0.1,0.101,0.102,-0.233,-0.112,-0.224,-0.288,-0.296,-0.262,84.3,81.6,100.5,93,82,76.8,Developing,North America
7,Argentina,-2.6,-2,-9.9,10.4,5.3,-1.6,11786.433,9941.59,8489.332,10610.191,13676.216,13823.346,9.2,9.8,11.6,8.8,6.8,6.1,34.3,53.5,42,48.4,72.4,133.5,44.495,44.939,45.377,45.809,46.235,46.697,-27.084,-3.49,2.688,6.625,-4.056,-20.956,85.2,89.8,103.8,81,84.5,155.4,Developing,South America
8,Armenia,5.2,7.6,-7.1,5.8,12.6,8.3,4195.963,4596.861,4268.681,4685.183,6660.868,8125.625,19,18.3,18.2,15.5,13.5,12.6,2.5,1.5,1.2,7.2,8.7,2,2.969,2.963,2.962,2.962,2.93,2.964,-0.901,-0.961,-0.505,-0.483,6.50E-02,-0.556,55.7,53.7,67.4,63.4,49.2,50.7,Developing,Asia
9,Aruba,2.4,-2.3,-24,27.6,10.5,5.3,30082.212,31096.315,23565.55,28813.136,33032.454,36743.647,7.3,5.2,8.6,8.8,6.6,4,3.6,3.9,-1.3,0.7,5.5,3.4,0.109,0.109,0.109,0.108,0.107,0.107,-1.70E-02,6.00E-03,-0.425,-6.50E-02,0.213,0.191,73.3,71.1,112.3,101.8,90.1,78.7,Developing,Other
10,Australia,2.8,1.8,-2.1,5.5,3.9,2,56441.271,54391.307,53249.731,64352.012,65513.824,64546.866,5.3,5.2,6.5,5.1,3.7,3.7,1.9,1.6,0.9,2.8,6.6,5.6,25.146,25.52,25.631,25.771,26.316,26.967,-31.736,4.828,29.737,47.925,14.95,4.395,41.7,46.7,57,55.4,50.3,49,Developed,Oceania
